,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
0,86350566,612900,chalet,334.0,FALSE,4,3,"Calle Gonzalo Jiménez de Quesada, 1",Boadilla del Monte,Sector B,40.4136,-3.9162,18029,newdevelopment,TRUE,FALSE,1835,TRUE,TRUE,nan,nan,FALSE,,FALSE
1,88820218,1250000,chalet,396.0,FALSE,5,4,barrio Monteclaro,Pozuelo de Alarcón,Urbanizaciones,40.4415,-3.8361,11572,good,FALSE,FALSE,3157,TRUE,TRUE,Monteclaro,nan,FALSE,,FALSE
2,88536347,289000,flat,44.0,FALSE,1,1,"Calle de Pelayo, 26",Madrid,Centro,40.4228,-3.6984,789,good,FALSE,FALSE,6568,TRUE,TRUE,Chueca-Justicia,3,FALSE,,FALSE
3,88744592,2900000,chalet,800.0,FALSE,8,7,La Moraleja,La Moraleja,La Moraleja,40.5121,-3.6235,12572,good,FALSE,FALSE,3625,TRUE,TRUE,Chueca-Justicia,3,FALSE,,FALSE
4,87535127,430000,flat,93.0,TRUE,1,2,"Paseo del Prado, 14",Madrid,Centro,40.4142,-3.6944,795,good,FALSE,FALSE,4624,TRUE,TRUE,Huertas-Cortes,4,TRUE,,FALSE
5,88690784,1150000,flat,285.0,TRUE,4,4,Calle de la Dalia,La Moraleja,El Soto de la Moraleja,40.5232,-3.6383,13057,good,FALSE,FALSE,4035,TRUE,TRUE,Huertas-Cortes,1,TRUE,,FALSE
6,86491721,1950000,chalet,420.0,FALSE,5,6,Calle de Agatha Christie,La Moraleja,Encinar de los Reyes,40.5025,-3.6335,11212,good,FALSE,FALSE,4643,TRUE,TRUE,Huertas-Cortes,1,TRUE,,FALSE
7,88800926,1440000,flat,163.0,TRUE,4,2,Calle de Ayala,Madrid,Barrio de Salamanca,40.4291,-3.6754,2726,good,FALSE,FALSE,8834,TRUE,TRUE,Goya,6,TRUE,,FALSE
8,87328336,920000,chalet,478.0,FALSE,6,5,ISLA DE FUERTEVENTURA,Boadilla del Monte,Valdepastores - Las Encinas,40.4254,-3.893,16090,good,FALSE,FALSE,1925,TRUE,TRUE,Goya,6,TRUE,,FALSE
9,83784292,1360000,chalet,600.0,FALSE,5,5,"Paseo del Embajador, 45",Ciudalcampo,Valdepastores - Las Encinas,40.6155,-3.6091,23494,good,FALSE,FALSE,2267,TRUE,TRUE,Goya,6,TRUE,,FALSE
